ID;Nome;Ingredientes
40;Chicken Stew;["Frango","batatas","cebolas","milho","ervilhas inglesas","ervilhas","feij�es de manteiga","tomates","suco de tomate","macaroni","sal preto","açúcar"]
41;Quick Coffee Cake(6 Servings);["manteiga","açúcar","ovo","farinha","fermento","sal","leite","baunilha","açúcar mascavo","canela","manteiga"]
42;Angel Biscuits;["Farinha","açúcar","fermento","levedura","buttermilk","soda","margarina","água morna"]
43;Quick Peppermint Puffs;["Marshmallows","Margarina","Peppermint Candy","rolos crescentes"]
44;Fruit Pizza;["amarelo bolo misture","água","açúcar mascavo","manteiga","ovos","porcas"]
45;Chocolate Mint Bars;["Farinha","açúcar","oleo","ovos","xarope de chocolate"]
46;Beer Bread;["Farinha","cerveja","açúcar"]
47;Chicken Divan;["margarina","cebola","Aipo","farinha","curry em p�","cogumelos","creme de sopa de aipo","brócolis","queijo"]
48;Mexican Cookie Rings;["Farinha","Faring em p�","sal","manteiga","açúcar","gema","baunilha","doces multi-coloridos"]
49;Vegetable-Burger Soup;["carne moída","açúcar","sopa de cebola","tomates","molho de tomate","legumes mistos congelados"]
50;Chicken Ole;["peitos de frango","creme de sopa de frango","creme de sopa de cogumelos","verde pimentão molho de salsa","piment�es verdes","leite","cebola","tortilla de milho"]
51;Creamy Coleslaw(Better Homes And Gardens);["Repolho","Cenouras","pimenta verde","cebola","maionese","vinagre","açúcar","aipo","sal"]
52;Creole Flounder;["Sonha","Tomates","Pimenta verde","suco de limão","óleo de salada","sal","cebola","Basil","pimenta preta","gotas molho de pimenta vermelha","pimenta"]
53;Three Bean Salad;["feijão verde","feijão amarelo","feijão rim","açúcar","oil óleo de salada","vinagre","água"]
54;Dave'S Corn Casserole;["inteiro kernel milho","estilo creme","creme azedo","pão de milho","margarina"]
55;Casserole Italiano;["carne moída","cebola","sopa de tomate","macarrão","or�gano","sal","água","queijo"]
56;Corned Beef And Cabbage Casserole;["Repolho","Mostarda seca","Corned Beef","creme de sopa de aipo","cebola"]
57;Crab Cakes;["Molho de worcestershire","mostarda seca","maionese","ovo"]
58;Taco Dip;["Cream Cheese","Mayonnaise","taco molho","cebolas verdes","pimenta verde","tomate","queijo mussarela","queijo cheddar","azeitonas pretas","tortilla chips"]
59;Bonbon Cookies;["manteiga","manteiga de amendoim","cracker de Graham migalhas","coco","carnes de nozes","baunilha"]
60;Forever Amber;["Candy cortado laranja","anjo","pecans","leite condensado","baunilha","calor laranja"]
61;Gooey Coffee Cake;["Bolo amarelo","ovos","Oleo","nozes","ovos","cream cheese","açúcar"]
62;Phylis' Pineapple-Banana Salad;["abacaxi","bananas"]
63;Chicken Casserole;["creme de sopa de cogumelos","creme de sopa de galinha","creme de sopa de aipo","frango","manteiga","arroz"]
64;Pineapple Nut Pie;["Cream Cheese","Leite condensado","abacaxi","nozes","suco de limão"]
65;Annie'S Diabetic Candy;["baunilha","cream cheese","manteiga","manteiga de amendoim"]
66;Frozen Peach Mousse;["pêssegos","açúcar","creme azedo","suco de limão","baunilha"]
67;Strawberry Pie;["morangos congelados","açúcar","cream cheese"]
68;Blueberry Surprise;["Margarina","cracker de Graham migalhas","açúcar granulado"]
69;Moist Devil'S Food Cake;["Farinha","bicarbonato de sódio","sal","encurtamento","açúcar","ovos","cacau","água","baunilha","leite"]
70;Dot'S Civil War Cake;["maçãs","passas","açúcar mascavo","Sugar","encurtamento","água fria","farinha","soda","canela","noz-moscada","sal","sal","Nuts"]
71;Potato Casserole;["batatas","cebola","manteiga","creme de sopa de galinha","creme azedo","Queijo Cheddar","Cornflakes"]
72;Dream Pie;["Baunilha wafers","manteiga"]
73;Divinity Fudge;["açúcar","xarope de milho branco","água fria","claras","baunilha","nozes"]
74;Apple Crisp;["maçãs","açúcar  canela","açúcar","farinha","sal","migalhas de flocos de milho","oleo"]
75;Sausage Balls;["Bisquick","salsicha","Queijo Cheddar"]
76;Consomme Chicken;["frango","creme de sopa de galinha","consomme","arroz","sal","pimenta"]
77;Spanish Hamburgers;["Aipo","cebolas","manteiga","bovino mo�do","vinagre","suco de limão","açúcar mascarado","mostarda","sal","pimenta","água"]
78;Egg Drop Soup;["caldo de frango","cornstarca","ovo","cebola verde"]
79;Mulled Cider;["suco de ma��","ALLspice","Todo cravo","canela","açúcar mascavo"]
80;Sesame Ginger Chicken;["Semente de gergelim","Gengibre ralado","mel","molho de soja","Frango","spray de cozimento vegetal","fina tira de cebola verde"]
81;Egg Casserole;["Vidalia cebola","cogumelos frescos","pimentas verdes","dente de alho","azeite","pão","ovos","leite"]
82;Cranberry-Apple-Orange Salad;["cranberries","açúcar","Apple","laranja","laranja gelatina","nozes"]
83;Brown Rice;["arroz","bovino consomme","sopa de cebola","cogumelos","margarina"]
84;Cranberry Salad;["Cream Cheese","Margarina","Sugar","molho de cranberry","abacaxi","nozes","creme de chicote"]
85;Cheese Dip;["Velveeta queijo","tomates italianos","pimentas verdes","cebola","alho","sal"]
86;Funnel Cake;["Farinha","sal","Soda","açúcar","fermento","ovo","leite","óleo","açúcar"]
87;Fast Real Good Fudge;["açúcar de confeiteiro","Cacau","nozes","margarina","velveeta","baunilha"]
88;Squash Casserole;["squash","cebolas","creme azedo","cenouras","frango","mistura de recheio","manteiga","sal"]
89;Cheese Ball;["Cream Cheese","Queijo Cheddar","pimentão","cebola","suco de limão","molho de worcestershire","molho tabasco","sal"]
90;*Apricot Salad;["damasco jello","açúcar","Queijo creme","frascos j�nior beb� comida","abacaxi","leite","água"]
91;Pound Cake;["Farinha","açúcar","Faring em p�","sal","ovos","margarina","manteiga","leite doce","baunilha"]
92;Monkey Bread;["pão","Margarina","açúcar mascavo","Pudim de baunilha","Leite","canela"]
93;Chicken Roll-Ups;["Crescent rolls","Queijo","galinha","creme de sopa de galinha","leite"]
94;Beef And Spanish Rice Casserole;["Arroz espanhol","Corned Beef","Cebola","Queijo Cheddar"]
95;Baked Beans;["carne de porco","pimentão","cebolas","catsup","açúcar mascavo","sal","pimenta preta","carne moída","óleo"]
96;Sweet-N-Sour Chicken;["Frango","encurtamento","cebola","peda�os de cenoura","água","frango","açúcar mascavo","cornstarca","gengibre","Catsup","vinagre","molho de soja","Pimenta verde","abacaxi"]
97;Ambrosia;["laranjas","coco �mido","pecans","cerejas","açúcar","suco de laranja"]
98;Crazy Peanut Butter Cookies;["manteiga de amendoim","açúcar","ovo"]
99;Brickle Bars;["Mistura de bolo amarelo","ovos","margarina","leite  pecans"]
100;Pancakes;["Farinha","refrigerante","sal","ovo","margarina","buttermilk"]
101;Crustless Vegetable Ham Pie;["manteiga","cogumelos","alho","Zucchini","cebola","ovos","queijo ricota","triturada Monterey Jack","espinafre congelado","endro","sal"]
102;Red Cabbage And Apples;["Repolho vermelho","manteiga","maçãs","açúcar mascavo","vinagre"]
103;German Potato Salad;["batatas","bacon","açúcar","farinha","sal","pimenta","vinagre","água","cebola verde"]
104;Jan'S Winter Soup;["manteiga","cebolas","bovino � terra","Dicular a alho","bovino","tomates","batatas","cenouras","aipo","feijão verde congelado","vinho tinto","Basil","Tomilho","Sal"]
105;Microwave Spice Tea;["açúcar","açúcar","Cantares","canela","ch� instant�neo"]
106;Barbecue Noodle Cheese Bake;["Manwich","Hamburgo","queijo americano","macarrão"]
107;Cutout Cookie;["encurtamento","manteiga","açúcar","ovos","baunilha","farinha","fermento","sal"]
108;Don Juan'S Sangria;["limão","laranja","Apple","açúcar","vermelho espanhol","Brandy","Triple SEC","Club Soda"]
109;Ranch Beef And Beans;["Hamburger","feij�es renais","feij�es de manteiga","feij�es","ketchup","pimentas verdes","mostarda","bouillon de carne","sino","Pepper","molho de worcestershire","alho"]
110;Crisp Oatmeal Cookies;["cozinhar aveia","açúcar mascavo","óleo de salada","ovos","sal","extrato de amêndoa"]
111;Souper Tuna Crunch;["macarrão chin�s","creme de Campbell","água  Chicken","caju","Aipo","cebola","ervilhas","molho de soja"]
112;Cheese-Ham Ball;["Queijo Cheddar","Cream Cheese","Presunto","Pimiento","salsa","molho de worcestershire","cebola"]
113;Cheese Ball;["Cream Cheese","Azeitonas pretas","Armadura de carne seca","cebolas verdes","cogumelos"]
114;Pasta Chicken Salad(268 Calories Per Serving);["Shells","Frango","Broquinhas","Couve-flor","cenouras","cebolas verdes","cogumelos frescos","salada italiana","leite","sal"]
115;Zucchini-Artichoke Continental;["Alcachofra congelado","água","Zucchini","cogumelos frescos","Cebola verde","alho","margarina","tomates","queijo parmesão"]
116;Supreme Beef Casserole;["chuck","encurtamento","tomates","molho de tomate","sal","açúcar","alho","macarrão de ovo","creme azedo","cream cebola","cebola verde","queijo ralado"]
117;Chicken Salad;["Chunk White Chicken","Aipo","amêndoas","água Castanhas","uvas brancas","sal","suco de limão","curry p�","nonfat maionese"]
118;Chess Pie;["Margarina","açúcar","refei��o","vinagre","ovos","sal","baunilha"]
119;Cold Spaghetti Salad;["Vermicelli","pimentão","Zucchini","cebola roxa","salada Suprema Tempero"]
120;Cucumber Salad With Dill;["pepinos","vinagre branco","sal","açúcar","cebola","dill"]
121;Chicken Spaghetti;["frango","creme de sopa de cogumelos","creme de sopa de galinha","tomates","sua escolha","espaguete","steak tempero"]
122;Cheese Ball;["Cream Cheese","Queijo afiado","Mayonnaise","molho de worcestershire","garlic sal","sal de aipo","sal de cebola","pimento","azeitonas","bovina"]
123;Pistachio Salad;["Pistachio Torta enchimento","abacaxi","marshmallows"]
124;Good Sweet Muffins;["ovo","óleo vegetal","farinha","açúcar","fermento em pó","sal","mirtilos"]
125;Vanilla Creme Dessert;["Farinha","Margarina","Pecans","Cream Cheese","açúcar","Pudim de baunilha instant�nea","leite"]
126;St. Joseph'S Zeppole;["água","manteiga","açúcar","farinha","ovos"]
127;Coro oysters;["milho de estilo creme","ovos","cebola","biscoitos","sal"]
128;Bright Party Beans;["Cebola","Cebola","feij�es","feijão","gr�os de lima amarela","beb� verde","açúcar mascavo","xarope","pimentão","ketchup","sal"]
129;Apricot Dessert;["bolo","damasco n�ctar","açúcar","cornstarca","nozes"]
130;Honey Almond Squares;["Bolo Mix","Cream Cheese","Alfalfa mel","amêndoas"]
131;Chicken Casserole;["arroz","sopa de cebola","creme de frango","cogumelos","mordida"]
132;Artichoke Dip;["maionese","queijo romano","alcachofras"]
133;French Onion Soup;["manteiga","cebolas","Beef Stock","Frango Stock","Molho de Worcestershire","Folha de louro","sal de alho","pimenta preta","sal"]
134;Apple Pie;["maçãs","açúcar","farinha","canela","sal"]
135;Sloppy Joes;["hamb�rguer","ketchup","molho de worcestershire","mostarda","açúcar","sal"]
136;7-Up Cake;["farinha","açúcar","ovos","manteiga","sabor de limão","colora��o amarela"]
137;Corned Beef Dip;["Corned Beef","Cream Cheese","Mayonnaise","Pickles","cebola","r�bano","molho de worcestershire","salmoura"]
138;Chocolate Pie;["açúcar","cacau","farinha","gema","clump","baunilha","água fervente"]
139;Tater Tot Casserole;["Tater","bovino � terra","cebola","pimentão","creme de sopa de cogumelo","creme de sopa de aipo","creme de sopa de galinha","queijo ralado"]
140;Blackberry Pie;["açúcar","cornstarca","gelatina aromatizada","amoras frescas","concha de pastelaria"]
141;Caramel Pie;["Coconut","Margarina","amêndoas lentadas","Leite","Graham Cracker Crusts","Cream Cheese","Caramel topping"]
142;Dill Dip;["Milagre","creme azedo","cebola","flocos de salsa","dill weed"]
143;Broccoli Cornbread;["cebola","óleo","brócolis congelado","margarina","mistura","ovos","queijo cottage"]
144;Vegetable Soup;["Cebola","Batata","pimentas verdes","Aipo","cenouras","Macaroni","feij�es","Folha de louro","Ervilhas","suco de tomate"]
145;Chocolate Peanut Butter Cake;["cacau","oleo","farinha","açúcar","bicarbonato de sódio","sal","ovos","baunilha","água","buttermilk"]
146;Magic Cookie Bars;["manteiga","Cracker de Graham migalhas","Leite","Chips de chocolate semi-doce","coco flocado","nozes"]
147;Pecan Pralines;["açúcar","açúcar mascavo","manteiga","pecans","coconut"]
148;Chocolate stuff;["pudim de chocolate","wafers de baunilha","pecans"]
149;Easy Chocolate Frosting;["açúcar branco","manteiga","leite","chips de chocolate","baunilha"]
150;No Bake Pumpkin Pie;["gelatina desfavorecida","leite","ovos","abóbora","canela  gengibre","sal","conchas de torta"]
151;Baked French Toast;["ovos","açúcar","noz-mo�do","suco de laranja","creme","baunilha"]
152;Puppy Chow;["cereal","Chocolate Chips","açúcar","manteiga de amendoim","margarina","baunilha"]
153;Tamale Casserole;["Hominy amarelo","azeitonas","piment�es verdes","tamales","cheddar queijo","cebola"]
154;Taco Dip;["feij�es","dip guacamole","creme azedo","mayonnaise","taco tempero","queijo mozzarella","cheddar queijo","cebola verde"]
155;Bonnie'S Bread;["água","levedura de bolo","sal","ovos","açúcar"]
156;Chicken Pot Pie;["frango","creme de sopa de cogumelos","caldo de frango","ervilhas","cebola","leite","faring p�","farinha"]
157;Smoked Turkey Risotto;["frango","azeitona","alho do cravo","arborio","oregano","sal","pimenta preta","espinafre","queijo parmesan"]
158;Eggplant Spaghetti Sauce;["óleo","berinjela","cebolas","Couve-flor","salsa fresca","cogumelos","alho","tomates italianos","folha de louro","oregano","Tomilho","Marjoram","Rosemary","sal","vermelho"]
159;Watergate Cake;["Mix de bolo branco","Pudim instant�neo de pistache","gengibre ale","ovos","pecans","chicote legal","leite","pudim instant�neo"]
160;Plum Muffins;["Farinha","nozes","ovos","açúcar","pleaspice","óleo"]
161;Cranberry Punch;["suco de cranberry","gengibre ale","água fervente","limonada congelada","água fria"]
162;Sweet Potato Pie;["batata doce","manteiga","açúcar","ovos","noz-moscada"]
163;Butternut Pound Cake;["açúcar","óleo crisco","ovos","farinha","leite doce","sabor de baunilha","butternut sabor"]
164;Morning Glory Muffins;["Farinha","açúcar","Bicarbonato de sódio","canela de solo","sals","Cenouras","coco","pecans","abacaxi","oil","ovos","ovos vegetais","baunilha"]
165;Chicken Breasts With Wild Rice;["arroz selvagem","Cream condensado","sopa de cebola","cogumelos","água","peitos de frango","manteiga","migalhas de milho"]
166;Creole Green Beans;["Pimenta verde","cebola","bacon dripings","farinha","sal","açúcar","paprika","tomates","ervilhas verdes"]
167;Banana Bread;["ovos","bananas","manteiga","açúcar","farinha","soda","creme de t�rtaro","nozes"]
168;Corned Beef Hash Swirls;["Bisquick","carne hash","mostarda","sal"]
169;Patio Potatoes;["Hash Browns","Margarina","sal","cebola","creme de sopa de cogumelos","steed creme","ralado afiado"]
170;Sky High Biscuits;["Farinha","Faring em p�","açúcar","sal","creme de t�rtaro","manteiga","ovo","leite"]
171;Lasagne;["Hamb�rguer Lean","Queijo de Ricota","macarrão Lasagne","Cheese Mozzarella"]
172;German Potato Salad;["Batatas novas","cebolas","talos aipo","vinagre de cidra","bacon quente","bacon","sal","salsa"]
173;Coconut Pie;["ovos","leite","baunilha","manteiga","açúcar","farinha","coconut"]
174;Bullets;["carne moída","farinha","sal"]
175;Mom'S Pancakes;["Farinha","Faring em p�","sal","açúcar","ovo","leite","manteiga"]
176;Pecan Kisses;["ovo","açúcar mascavo claro","baunilha","pecans"]
177;Pizza Casserole;["carne moída","molho","queijo mozzarella","cogumelos","mistura de biscoito","leite","ovos"]
178;Chocolate Lover'S No-Bake Brownies;["Chips de chocolate semi-doces","leite condensado","bolachas de chocolate  nozes"]
179;Broccoli Casserole;["brócolis","sopa de cogumelo","mayonnaise","ovo","cebola","sal"]
180;Fruit Bars;["Farinha","Faring em p�","extrato de amêndoa","porcas","cerejas maraschino","açúcar","sal","ovos","datas","Chips"]
181;Chinese Hamburger;["hamb�rguer","óleo","cebola","Aipo","arroz","creme de sopa de cogumelos","creme de sopa de galinha","água","molho de soja","macarrão"]
182;Almond Roco;["manteiga","açúcar","água","amêndoas","chocolate","amêndoas"]
183;Hungarian-Stuffed Peppers;["pimentas","cebola","alho p�","carne moída","arroz","ovo","sal"]
184;Lemon Pudding Pound Cake;["ovos","mistura de bolo amarelo","água","óleo"]
185;Peanut Butter Cup Cookies;["manteiga","manteiga de amendoim","açúcar mascavo","açúcar branco","ovo","baunilha","farinha","bicarbonato de sódio","sal","manteiga"]
186;Egg Cheese Souffle;["ovos","leite","mostarda","sal","cebola","pimenta","croutons"]
187;Apple Bread;["Margarina","ovo  canela","cravo","sal","nozes","açúcar mascavo","farinha","bicarbonato de sódio","ma��"]
188;Homemade Noodles;["Farinha","ovos","água"]
189;Chocolate Fudge;["Margarina","Leite","açúcar","marshmallows","chocolate de cozimento","chocolate de leite","chocolate semi-doce","baunilha","porcas"]
190;Fruit Cake;["ovos","Farinha","Salt","açúcar","fermento","Chocolate Chips","Nuts","Cerejas cristalizadas"]
191;Cranberry Scones;["manteiga","açúcar de confeiteiro"]
192;Brownie Pie;["All-Propósito","cacau","açúcar","ovos","margarina","sal","baunilha","porcas","creme"]
193;Cream Puff Dessert;["água","Margarina","Farinha","ovos","Pudim instant�neo de baunilha","leite","cream cheese","xarope de chocolate"]
194;Chantilly Low-Fat;["nonfat iogurte simples","creme pesado","suco de mandarim"]
195;Golf Balls;["cacau","manteiga","açúcar","Leite","baunilha","manteiga de amendoim"]
196;Crispy Herb Bread;["Azeite","alho p�","pão","Tomilho","Marjoram","paprika","queijo parmesão"]
197;Festive Fruit Salad;["Abacaxi","Mandarin Laranjas","uvas","Marshmallows","Morangos","maçãs","suco de limão","suco de laranja","cornstarca","bananas","nuts"]
198;Fresh Strawberry Pie;["Morangos","água","sal","açúcar","cornstarca","canela","manteiga"]
199;Egg Custard;["açúcar","ovos","leite","amido de milho","baunilha","canela de terra","shell da torta"]
200;Chicken Giblet Gravy;["caldo de frango","ovos","frango","sal","farinha","água"]
201;Beef Brisket;["peito de carne","catsup","cebola","vinagre de cidra","r�bano","mostarda","sal","pimenta"]
202;Fruit Medley;["tapioca","água","açúcar","Suco de laranja","Laranjas","fatias de p�ssego","morangos","bananas","sherbet"]
203;Nana'S Cornbread(For 9-Inch Iron Skillet Or 8 X 8-Inch Pan);["refei��o de milho","farinha","açúcar","sal","bicarbonato de sódio","ovo","buttermilk","bacon gordo"]
204;Marinated Pork Roast;["Porco assado","xerez","mostarda","tomilho","molho de soja","alho","gengibre"]
205;Dad'S Chili;["Petróleo","óleo","alho","pimentas verdes","tomates","água","cornstarca","sal de alho"]
206;Spoon Rolls;["ovo","levedura","farinha","água","açúcar"]
207;Chicago Crunchy Chocolate Chip Cookies;["Farinha","Bicarbonato de sódio","açúcar mascavo","baunilha","flocos de milho","chocolate","sal","manteiga","óleo","aveia"]
208;Salad Dressing;["suco de limão","mel","alho do cravo","Rosemary","cebola","semente de linho","salsa"]
209;Leroy'S Heavenly Hash;["N�o","bananas","marshmallows","pe�as de pecan","abacaxi"]
210;Banana Cream Pie;["Leite","creme pesado","gemas","açúcar","amido de milho","baunilha","manteiga","bananas"]
211;Marinated Onions And Blue Cheese;["óleo de oliva","suco de limão","sal","pimenta","açúcar  queijo","cebola"]
212;Cheese Cake;["Graham cracker migalhas","manteiga  canela","açúcar","queijo creme","leite","açúcar","ovos","suco de limão"]
213;Carrot Bread;["açúcar","óleo","ovos","farinha","bicarbonato de sódio","fermento  canela  cenouras","porcas"]
214;Mistletoe Punch;["congelado concentrado de limonada","concentrado de suco de laranja","água","xarope de grenadina","gengibre ale","cerejas maraschino"]
215;Mixed Vegetable Casserole;["Veg-tudo","cebola","castanhas de água","queijo ralado","mayonnaise","rolo","margarina"]
216;Cheeseburger Crescent Bake(1 Hour);["Beefa de ch�o","Rolos crescentes","cebola","molho de worcestershire","suco de limão","paprika","alho p�","sal","pimentada","Egg"]
217;Do-Unkles Pumpkin Cake;["açúcar","Farinha","sal","canela","noz-moscada","soda","óleo","ovos","fermento","nozes"]
218;Colonial Cheese Biscuits;["Queijo Cheddar","manteiga","Farinha","sal","paprika","açúcar de confeitaria"]
219;Simple Salsa Dip;["salsa","queijo americano","feij�es"]
220;Any Flavor Pan Dessert;["Farinha","manteiga","pecans","açúcar","Cream Cheese","açúcar","Pudim instant�neo","leite"]
221;Mexican Casserole;["Fritos","bovino � terra","cebola","sopa de cogumelo","creme de sopa de galinha","leite  queijo"]
222;Apple Sour Cream Coffee Cake;["Farinha","Bicarbonato de sódio","sal","manteiga","açúcar","ovos","baunilha","creme azedo","açúcar  canela","maçãs"]
223;Snickerdoodles;["açúcar","margarina","encurtamento de vegetais","ovos","canela","farinha","creme de t�rtaro","bicarbonato de sódio","sal","açúcar"]
224;Spaghetti Salad;["Spaghetti","Pepinos","Tomates","talos aipo","pimenta verde","cebolas","salada italiana","salada suprema"]
225;Spanish Meat Balls;["Cora��o de terra","pão","cebola","arroz","pimentão","pimenta","ovos","sal","pimenta verde","sopa de tomate","Chili","p�"]
226;Broccoli Cornbread;["muffin de milho","Margarina","ovos","claras","creme azedo","brócolis","cebola"]
227;Fried Onion Rings;["cebola doce","ovo","água","óleo vegetal","suco de limão","farinha","fermento em pó","sal","pimenta caiena","óleo"]
228;Mayonnaise Rolls;["L�rio branco","maionese","leite doce","sal"]
229;Cheeseburger Loaf;["leite","ovo","cracker migalhas","Chuck","cebola","sal","mostarda seca","ketchup","queijo americano"]
230;One Bowl Chocolate Fudge(Microwave);["chocolate semi-doce","leite condensado","baunilha","sal","nozes"]
231;Ranch Style Baked Beans Casserole;["Margarina","bovino � terra","Sopa de cebola mistura","água","gato","mostarda","vinagre","carne de porco","feijão"]
232;Etta'S Hungarian Coffee Cake;["açúcar mascavo","Farinha","encurtamento","sal","ovo","bicarbonato de sódio","fermento","leite azedo"]
233;Beer Biscuits;["biscoito misture","açúcar","cerveja quente"]
234;Baked Spaghetti;["cebola","pimenta verde","manteiga  Tomates","cogumelo hastes","azeitonas","oregano","bovino mo�do","Queijo Cheddar","Cream","Queijo parmesão"]
235;Easy Apple Dumplings;["Cozinhar maçãs","açúcar","açúcar mascavo","água","torma de ma�� especiaria","baunilha","manteiga"]
236;Twinkie Dessert;["Twinkies","Jello de morango","água","Morangos congelados","Pudim instant�neo de baunilha"]
237;Gooey Butter Cake;["Bolo de chocolate","ovos","manteiga","queijo creme","açúcar","baunilha"]
238;Corn Pudding;["estilo creme","manteiga","Farinha","ovos","açúcar","leite","sal","pimenta"]
239;Honey Cake;["ovos","mel","açúcar","Caf� preto","fermento","margarina","bicarbonato de sódio","flour"]
240;Enchiladas;["pasta de tomate","água","alho","pimentão","carne moída da carne","shredded Monterey Jack Queijo","tortillas de milho"]
241;Zucchini In Tomato Juice(From Weight Watchers);["Zucchini","Suco de tomate","or�gano","salsa flocos","alho","sino","cebola","sal","frango"]
242;Pineapple Casserole;["açúcar","Farinha","Queijo Cheddar","Biscoitos","Abacaxi","Margarina"]
243;Brunswick Stew;["Frango","água","sal","batatas","cebola","congelados limas","milho","tomates","sal","manteiga"]
244;Cheese Ball;["Cream Cheese","Mayonnaise","suco de limão","cebola verde","Deli beef","azeitonas pretas","verde pimentão","nozes","biscoitos"]
245;Marinated Carrots;["Cenouras","cebola","sopa de tomate","sal","pimenta","açúcar","óleo salada","vinagre"]
246;Blueberry Cake;["ovos","açúcar","encurtamento","sal","fermento","baunilha","farinha","leite","floured blueberries"]
247;Summer Squash Casserole;["cebola","creme de canja","creme azedo","recheio mistura","manteiga"]
248;Skor Cake;["bolo de chocolate","leite","molho de caramelo"]
249;Never Fail Pie Crust(Double Pie Crust);["farinha","encurtamento","ovo","água","vinagre","açúcar","sal"]
250;Best Brownies;["manteiga","cacau","açúcar","ovos","baunilha","farinha","sal","coconut flocado"]
251;Mushroom Caps Stuffed;["cogumelos","salsicha doce","queijo mussarela","migalhas de pão"]
